city_id,Level_0,Level_1,Level_2,Level_3,Level_4,,server_id,City,Workday_left
city 1,0,0,0,0,0,,server 1,9,5
city 2,1,1,1,0,1,,server 2,6,2
city 3,1,1,1,1,0,,server 3,15,3
city 4,0,0,0,0,1,,server 4,15,1
city 5,0,1,0,1,0,,server 5,19,0
city 6,1,0,1,1,0,,server 6,16,3
city 7,0,1,1,1,0,,server 7,0,1
city 8,1,1,1,0,1,,server 8,11,5
city 9,1,1,1,0,0,,server 9,4,4
city 10,0,0,1,0,1,,server 10,22,2
city 11,0,1,0,1,0,,server 11,8,0
city 12,0,0,0,1,1,,server 12,18,2
city 13,0,1,0,1,0,,server 13,19,2
city 14,1,0,0,0,0,,server 14,23,5
city 15,1,0,1,1,1,,server 15,23,0
city 16,0,0,1,1,1,,server 16,10,3
city 17,0,0,0,1,0,,server 17,7,0
city 18,0,1,1,0,0,,server 18,5,3
city 19,0,1,0,1,0,,server 19,2,3
city 20,0,1,0,1,0,,server 20,24,5
city 21,0,0,1,0,1,,server 21,24,2
city 22,0,1,0,0,1,,server 22,17,4
city 23,0,1,1,0,1,,server 23,17,5
city 24,0,0,1,1,1,,server 24,21,1
city 25,1,1,1,0,0,,server 25,15,2
city 26,1,0,1,1,0,,server 26,8,4
,,,,,,,server 27,0,3
,,,,,,,server 28,0,3
,,,,,,,server 29,20,5
,,,,,,,server 30,23,3
,,,,,,,server 31,16,2
,,,,,,,server 32,15,0
,,,,,,,server 33,18,3
,,,,,,,server 34,22,5
,,,,,,,server 35,13,5
,,,,,,,server 36,5,5
,,,,,,,server 37,12,5
,,,,,,,server 38,21,2
,,,,,,,server 39,1,2
,,,,,,,server 40,0,4
