city_id,Level_0,Level_1,Level_2,Level_3,Level_4,,server_id,City,Workday_left
city 1,1,0,1,1,1,,server 1,20,5
city 2,0,0,0,0,1,,server 2,5,5
city 3,0,1,1,0,0,,server 3,10,3
city 4,1,0,1,0,1,,server 4,23,5
city 5,0,0,1,0,1,,server 5,22,0
city 6,1,0,1,0,1,,server 6,18,2
city 7,1,0,1,1,1,,server 7,3,4
city 8,1,0,0,1,1,,server 8,1,5
city 9,1,0,0,0,0,,server 9,10,3
city 10,0,1,0,0,0,,server 10,14,3
city 11,0,0,0,1,0,,server 11,21,5
city 12,0,1,0,0,0,,server 12,23,0
city 13,1,1,0,1,0,,server 13,18,5
city 14,1,1,0,1,1,,server 14,24,5
city 15,0,1,1,0,0,,server 15,14,1
city 16,1,1,1,1,1,,server 16,7,2
city 17,0,1,1,0,1,,server 17,18,1
city 18,1,1,1,0,0,,server 18,11,4
city 19,1,1,1,0,1,,server 19,5,4
city 20,0,1,0,0,0,,server 20,21,1
city 21,0,1,1,1,1,,server 21,18,3
city 22,0,1,0,1,0,,server 22,0,3
city 23,1,1,1,1,0,,server 23,16,3
city 24,1,1,1,1,1,,server 24,14,3
city 25,1,0,1,1,1,,server 25,13,0
city 26,1,0,1,1,1,,server 26,4,5
,,,,,,,server 27,10,5
,,,,,,,server 28,12,3
,,,,,,,server 29,2,2
,,,,,,,server 30,5,0
,,,,,,,server 31,23,1
,,,,,,,server 32,4,1
,,,,,,,server 33,11,1
,,,,,,,server 34,12,1
,,,,,,,server 35,19,1
,,,,,,,server 36,4,0
,,,,,,,server 37,16,0
,,,,,,,server 38,10,0
,,,,,,,server 39,22,5
,,,,,,,server 40,16,2
